Country Name,Year,Ind 1,Ind 2,Ind 3,Ind 4,Ind 5,Ind 6,Ind 7,Ind 8,Ind 9,Ind 10,Ind 11,Ind 12,Ind 13,Ind 14,Ind 15,Ind 16,Ind 17,Ind 18,Ind 19,Ind 20,Ind 21,Ind 22,Ind 23,Ind 24,Ind 25,Ind 26,Ind 27,Ind 28,Ind 29,Ind 30,Ind 31,Ind 32,Ind 33,Happiness Score
Belarus,2015,100,94.63606,-6.807323801,-6.955662298,4.92641553,26.90308894,43.82544795,12.5,16.265,23.636,52.33,42.383,12.6,33.528,35.337,28.11049921,0.40098554,56454734397,-3.829570558,32.20089109,91.096,-6.33695583,1.7,4.1,9489616,8.36258,17.57007,6.770869532,207600,14.17309447,115.9148262,1,281.99,5.813
Belgium,2015,100,98.38075,1.204603673,0.619873136,6.22215991,23.188446,54.19360574,10.8,16.265,23.636,52.33,42.383,9.8,33.528,35.337,42.01150161,0,4.55E+11,1.426956809,24.93716038,91.096,3.429633242,2.2,4,11274196,9.42496,11.23127,9.201640531,30530,24.66737592,160.2293253,8.482000351,281.99,6.937
Belize,2015,91.8,99.21942,8.640430088,6.344179097,6.39,12.73050157,56.78067427,22.739,16.265,23.636,52.33,42.383,5.523,32.90297,41.17408,26.769,5.4890076,1762500450,3.431950484,15.12967273,91.096,-14.65217631,9.6,15.6,359288,16.30319,20.43642,35.0236296,22970,16.878,122.3304113,7.578199863,281.99,5.421
Benin,2015,40.03347778,90.89,1.554764889,-1.222639944,4.010592217,15.8495347,86.09778484,37.431,16.265,23.636,52.33,42.383,9.319,49.80869,23.73528,26.769,34.23423794,8291155881,2.095808383,14.39699825,91.096,8.155136268,33.7,103.7,10575952,10.32268,45.04478,50.86261794,114760,16.878,58.79788478,8.223,281.99,3.34
Bermuda,2015,100,90.89,2.673,1.281,2.1,21.565,58.786,9.4,16.265,23.636,52.33,42.383,7.4,30.69482,44.3101,26.769,10.04,2.60059E+12,3.065,20.026,91.096,3.06,13.885,31.408,65239,6.33229,10.4196,2.359588007,4290,16.878,85.25,8.223,281.99,5.421
Bhutan,2015,98.42352295,84.61948,3.354964319,1.919205238,6.945663474,22.56365889,47.26964628,18.46,16.265,23.636,52.33,42.383,6.043,33.528,41.49114,18.86640469,5.27929865,2059809920,6.644564258,23.96827314,91.096,4.414211523,18.3,33.4,787386,12.14578,40.00443,86.90454832,38393.99902,13.76607075,96.41821166,2.450000048,281.99,5.253
Bolivia,2015,91.522822,89.88581,4.21712248,2.637584731,6.08,14.71966453,63.69479308,23.549,16.265,23.636,52.33,42.383,7.353,33.528,35.337,26.769,3.12527749,33000198263,4.857187895,14.08502392,99.39917,4.576603016,19.9,37.5,10724705,20.84395,18.10837,17.53818183,1098580,16.878,67.93284494,3.065999985,281.99,5.89
Bosnia and Herzegovina,2015,100,90.89,4.46504437,5.352563887,4.411,13.04526282,43.25578286,9.12,16.265,23.636,52.33,42.383,10.886,33.528,35.337,36.91607032,2.39441043,16209702864,3.076822671,-3.794991158,91.096,6.393354266,4.2,6,3535961,10.14673,17.16401,40.75006023,51210,19.93647719,88.08738013,27.64999962,281.99,4.949
Botswana,2015,58.52875137,90.89,1.262409086,-0.599663019,9.48,41.13945886,55.08099434,24.14,16.265,23.636,52.33,42.383,7.022,33.528,35.337,29.34385384,8.35538908,14406496464,-1.697935502,27.31400875,91.096,3.237588104,27,40.6,2209197,16.5696,23.4515,28.87982699,581730,24.71167019,105.7945451,8.223,281.99,4.332
Brazil,2015,99.710902,96.85231,-4.329645128,-5.142052132,5.688595377,14.74741982,43.82426324,14.405,10.58351949,41.32826411,53.80871123,23.71616301,6.092,25.61507,41.3708,36.15805272,0.73362756,1.80E+12,-3.549767247,16.25838276,98.96375,-8.484271235,9.4,15.7,205962108,16.45139,20.58529,43.7903892,8515770,12.82486326,26.95362594,8.223,136.1230657,6.983
